k,lhs,rhs
2.11026,0.331723,0.00915406
2.11037,0.33264,0.00885282
2.11048,0.333553,0.00855549
2.11059,0.334462,0.00826191
2.1107,0.335367,0.00797196
2.1108,0.336269,0.0076855
2.11091,0.337168,0.00740238
2.11102,0.338062,0.0071225
2.11113,0.338953,0.00684572
2.11124,0.33984,0.00657192
2.11134,0.340723,0.006301
2.11145,0.341603,0.00603284
2.11156,0.342479,0.00576733
2.11167,0.343351,0.00550436
2.11178,0.344219,0.00524384
2.11188,0.345084,0.00498566
2.11199,0.345944,0.00472973
2.1121,0.346801,0.00447595
2.11221,0.347654,0.00422423
2.11232,0.348504,0.00397447
2.11243,0.349349,0.0037266
2.11253,0.350191,0.00348052
2.11264,0.351029,0.00323614
2.11275,0.351863,0.00299338
2.11286,0.352693,0.00275217
2.11297,0.353519,0.0025124
2.11307,0.354342,0.00227402
2.11318,0.35516,0.00203693
2.11329,0.355975,0.00180105
2.1134,0.356785,0.00156632
2.11351,0.357592,0.00133264
2.11361,0.358395,0.00109995
2.11372,0.359194,0.000868154
2.11383,0.359989,0.00063719
2.11394,0.36078,0.000406976
2.11405,0.361567,0.000177434
2.11415,0.36235,-0.0000515132
2.11426,0.36313,-0.000279943
2.11437,0.363905,-0.000507935
2.11448,0.364676,-0.000735567
2.11459,0.365443,-0.00096292
2.1147,0.366207,-0.00119007
2.1148,0.366966,-0.00141711
2.11491,0.367721,-0.00164411
2.11502,0.368472,-0.00187116
2.11513,0.36922,-0.00209834
2.11524,0.369963,-0.00232575
2.11534,0.370702,-0.00255347
2.11545,0.371437,-0.00278159
2.11556,0.372168,-0.00301021
2.11567,0.372895,-0.00323942
2.11578,0.373618,-0.00346932
2.11588,0.374336,-0.00370001
2.11599,0.375051,-0.00393159
2.1161,0.375762,-0.00416418
2.11621,0.376468,-0.00439789
2.11632,0.377171,-0.00463282
2.11642,0.377869,-0.0048691
2.11653,0.378563,-0.00510686
2.11664,0.379253,-0.00534622
2.11675,0.379939,-0.00558732
2.11686,0.380621,-0.00583029
2.11697,0.381298,-0.00607528
2.11707,0.381971,-0.00632245
2.11718,0.382641,-0.00657196
2.11729,0.383306,-0.00682397
2.1174,0.383967,-0.00707866
2.11751,0.384623,-0.00733621
2.11761,0.385276,-0.00759682
2.11772,0.385924,-0.00786069
2.11783,0.386568,-0.00812804
2.11794,0.387208,-0.0083991
2.11805,0.387844,-0.00867411
2.11815,0.388475,-0.00895332
2.11826,0.389103,-0.00923702
2.11837,0.389725,-0.00952548
2.11848,0.390344,-0.00981901
2.11859,0.390959,-0.0101179
2.11869,0.391569,-0.0104226
2.1188,0.392175,-0.0107334
2.11891,0.392777,-0.0110507
2.11902,0.393374,-0.011375
2.11913,0.393967,-0.0117067
2.11924,0.394556,-0.0120462
2.11934,0.395141,-0.0123942
2.11945,0.395721,-0.0127512
2.11956,0.396297,-0.0131178
2.11967,0.396868,-0.0134946
2.11978,0.397436,-0.0138825
2.11988,0.397999,-0.0142821
2.11999,0.398558,-0.0146943
2.1201,0.399112,-0.0151202
2.12021,0.399662,-0.0155605
2.12032,0.400208,-0.0160166
2.12042,0.400749,-0.0164895
2.12053,0.401286,-0.0169807
