k, beta 
5.30397e-01, 4.10000e+00 
5.31042e-01, 4.11000e+00 
5.31688e-01, 4.12000e+00 
5.32336e-01, 4.13000e+00 
5.32985e-01, 4.14000e+00 
5.33636e-01, 4.15000e+00 
5.34289e-01, 4.16000e+00 
5.34943e-01, 4.17000e+00 
5.35599e-01, 4.18000e+00 
5.36256e-01, 4.19000e+00 
5.36914e-01, 4.20000e+00 
5.37574e-01, 4.21000e+00 
5.38236e-01, 4.22000e+00 
5.38899e-01, 4.23000e+00 
5.39563e-01, 4.24000e+00 
5.40229e-01, 4.25000e+00 
5.40896e-01, 4.26000e+00 
5.41565e-01, 4.27000e+00 
5.42235e-01, 4.28000e+00 
5.42906e-01, 4.29000e+00 
5.43579e-01, 4.30000e+00 
5.44253e-01, 4.31000e+00 
5.44929e-01, 4.32000e+00 
5.45606e-01, 4.33000e+00 
5.46284e-01, 4.34000e+00 
5.46964e-01, 4.35000e+00 
5.47645e-01, 4.36000e+00 
5.48327e-01, 4.37000e+00 
5.49010e-01, 4.38000e+00 
5.49695e-01, 4.39000e+00 
5.50381e-01, 4.40000e+00 
5.51069e-01, 4.41000e+00 
5.51758e-01, 4.42000e+00 
5.52448e-01, 4.43000e+00 
5.53139e-01, 4.44000e+00 
5.53831e-01, 4.45000e+00 
5.54525e-01, 4.46000e+00 
5.55220e-01, 4.47000e+00 
5.55916e-01, 4.48000e+00 
5.56614e-01, 4.49000e+00 
5.57312e-01, 4.50000e+00 
5.58012e-01, 4.51000e+00 
5.58713e-01, 4.52000e+00 
5.59415e-01, 4.53000e+00 
5.60118e-01, 4.54000e+00 
5.60823e-01, 4.55000e+00 
5.61529e-01, 4.56000e+00 
5.62235e-01, 4.57000e+00 
5.62943e-01, 4.58000e+00 
5.63652e-01, 4.59000e+00 
5.64363e-01, 4.60000e+00 
5.65074e-01, 4.61000e+00 
5.65786e-01, 4.62000e+00 
5.66500e-01, 4.63000e+00 
5.67215e-01, 4.64000e+00 
5.67930e-01, 4.65000e+00 
5.68647e-01, 4.66000e+00 
5.69365e-01, 4.67000e+00 
5.70084e-01, 4.68000e+00 
5.70804e-01, 4.69000e+00 
5.71525e-01, 4.70000e+00 
5.72248e-01, 4.71000e+00 
5.72971e-01, 4.72000e+00 
5.73695e-01, 4.73000e+00 
5.74420e-01, 4.74000e+00 
5.75147e-01, 4.75000e+00 
5.75874e-01, 4.76000e+00 
5.76602e-01, 4.77000e+00 
5.77332e-01, 4.78000e+00 
5.78062e-01, 4.79000e+00 
5.78793e-01, 4.80000e+00 
5.79526e-01, 4.81000e+00 
5.80259e-01, 4.82000e+00 
5.80993e-01, 4.83000e+00 
5.81729e-01, 4.84000e+00 
5.82465e-01, 4.85000e+00 
5.83202e-01, 4.86000e+00 
5.83940e-01, 4.87000e+00 
5.84679e-01, 4.88000e+00 
5.85419e-01, 4.89000e+00 
5.86160e-01, 4.90000e+00 
5.86902e-01, 4.91000e+00 
5.87645e-01, 4.92000e+00 
5.88389e-01, 4.93000e+00 
5.89133e-01, 4.94000e+00 
5.89879e-01, 4.95000e+00 
5.90625e-01, 4.96000e+00 
5.91373e-01, 4.97000e+00 
5.92121e-01, 4.98000e+00 
5.92870e-01, 4.99000e+00 
5.93620e-01, 5.00000e+00 
5.94371e-01, 5.01000e+00 
5.95122e-01, 5.02000e+00 
5.95875e-01, 5.03000e+00 
5.96628e-01, 5.04000e+00 
5.97383e-01, 5.05000e+00 
5.98138e-01, 5.06000e+00 
5.98894e-01, 5.07000e+00 
5.99651e-01, 5.08000e+00 
6.00408e-01, 5.09000e+00 
6.01167e-01, 5.10000e+00 
6.01926e-01, 5.11000e+00 
6.02686e-01, 5.12000e+00 
6.03447e-01, 5.13000e+00 
6.04209e-01, 5.14000e+00 
6.04972e-01, 5.15000e+00 
6.05735e-01, 5.16000e+00 
6.06499e-01, 5.17000e+00 
6.07264e-01, 5.18000e+00 
6.08030e-01, 5.19000e+00 
6.08796e-01, 5.20000e+00 
6.09564e-01, 5.21000e+00 
6.10332e-01, 5.22000e+00 
6.11100e-01, 5.23000e+00 
6.11870e-01, 5.24000e+00 
6.12640e-01, 5.25000e+00 
6.13411e-01, 5.26000e+00 
6.14183e-01, 5.27000e+00 
6.14956e-01, 5.28000e+00 
6.15729e-01, 5.29000e+00 
6.16503e-01, 5.30000e+00 
6.17278e-01, 5.31000e+00 
6.18054e-01, 5.32000e+00 
6.18830e-01, 5.33000e+00 
6.19607e-01, 5.34000e+00 
6.20385e-01, 5.35000e+00 
6.21163e-01, 5.36000e+00 
6.21942e-01, 5.37000e+00 
6.22722e-01, 5.38000e+00 
6.23503e-01, 5.39000e+00 
6.24284e-01, 5.40000e+00 
6.25066e-01, 5.41000e+00 
6.25848e-01, 5.42000e+00 
6.26632e-01, 5.43000e+00 
6.27416e-01, 5.44000e+00 
6.28200e-01, 5.45000e+00 
6.28986e-01, 5.46000e+00 
6.29772e-01, 5.47000e+00 
6.30558e-01, 5.48000e+00 
6.31346e-01, 5.49000e+00 
6.32134e-01, 5.50000e+00 
6.32922e-01, 5.51000e+00 
6.33712e-01, 5.52000e+00 
6.34502e-01, 5.53000e+00 
6.35292e-01, 5.54000e+00 
6.36083e-01, 5.55000e+00 
6.36875e-01, 5.56000e+00 
6.37668e-01, 5.57000e+00 
6.38461e-01, 5.58000e+00 
6.39255e-01, 5.59000e+00 
6.40049e-01, 5.60000e+00 
6.40844e-01, 5.61000e+00 
6.41640e-01, 5.62000e+00 
6.42436e-01, 5.63000e+00 
6.43233e-01, 5.64000e+00 
6.44030e-01, 5.65000e+00 
6.44829e-01, 5.66000e+00 
6.45627e-01, 5.67000e+00 
6.46427e-01, 5.68000e+00 
6.47226e-01, 5.69000e+00 
6.48027e-01, 5.70000e+00 
6.48828e-01, 5.71000e+00 
6.49630e-01, 5.72000e+00 
6.50432e-01, 5.73000e+00 
6.51235e-01, 5.74000e+00 
6.52038e-01, 5.75000e+00 
6.52842e-01, 5.76000e+00 
6.53647e-01, 5.77000e+00 
6.54452e-01, 5.78000e+00 
6.55257e-01, 5.79000e+00 
6.56064e-01, 5.80000e+00 
6.56870e-01, 5.81000e+00 
6.57678e-01, 5.82000e+00 
6.58486e-01, 5.83000e+00 
6.59294e-01, 5.84000e+00 
6.60103e-01, 5.85000e+00 
6.60913e-01, 5.86000e+00 
6.61723e-01, 5.87000e+00 
6.62533e-01, 5.88000e+00 
6.63345e-01, 5.89000e+00 
6.64156e-01, 5.90000e+00 
6.64969e-01, 5.91000e+00 
6.65781e-01, 5.92000e+00 
6.66595e-01, 5.93000e+00 
6.67408e-01, 5.94000e+00 
6.68223e-01, 5.95000e+00 
6.69038e-01, 5.96000e+00 
6.69853e-01, 5.97000e+00 
6.70669e-01, 5.98000e+00 
6.71485e-01, 5.99000e+00 
6.72302e-01, 6.00000e+00 
6.73120e-01, 6.01000e+00 
6.73937e-01, 6.02000e+00 
6.74756e-01, 6.03000e+00 
6.75575e-01, 6.04000e+00 
6.76394e-01, 6.05000e+00 
6.77214e-01, 6.06000e+00 
6.78035e-01, 6.07000e+00 
6.78855e-01, 6.08000e+00 
6.79677e-01, 6.09000e+00 
6.80499e-01, 6.10000e+00 
6.81321e-01, 6.11000e+00 
6.82144e-01, 6.12000e+00 
6.82967e-01, 6.13000e+00 
6.83791e-01, 6.14000e+00 
6.84615e-01, 6.15000e+00 
6.85440e-01, 6.16000e+00 
6.86265e-01, 6.17000e+00 
6.87091e-01, 6.18000e+00 
6.87917e-01, 6.19000e+00 
6.88743e-01, 6.20000e+00 
6.89570e-01, 6.21000e+00 
6.90398e-01, 6.22000e+00 
6.91226e-01, 6.23000e+00 
6.92054e-01, 6.24000e+00 
6.92883e-01, 6.25000e+00 
6.93712e-01, 6.26000e+00 
6.94542e-01, 6.27000e+00 
6.95372e-01, 6.28000e+00 
6.96203e-01, 6.29000e+00 
6.97034e-01, 6.30000e+00 
6.97865e-01, 6.31000e+00 
6.98697e-01, 6.32000e+00 
6.99529e-01, 6.33000e+00 
7.00362e-01, 6.34000e+00 
7.01195e-01, 6.35000e+00 
7.02029e-01, 6.36000e+00 
7.02863e-01, 6.37000e+00 
7.03697e-01, 6.38000e+00 
7.04532e-01, 6.39000e+00 
7.05368e-01, 6.40000e+00 
7.06203e-01, 6.41000e+00 
7.07040e-01, 6.42000e+00 
7.07876e-01, 6.43000e+00 
7.08713e-01, 6.44000e+00 
7.09550e-01, 6.45000e+00 
7.10388e-01, 6.46000e+00 
7.11226e-01, 6.47000e+00 
7.12065e-01, 6.48000e+00 
7.12904e-01, 6.49000e+00 
7.13743e-01, 6.50000e+00 
7.14583e-01, 6.51000e+00 
7.15423e-01, 6.52000e+00 
7.16264e-01, 6.53000e+00 
7.17105e-01, 6.54000e+00 
7.17946e-01, 6.55000e+00 
7.18788e-01, 6.56000e+00 
7.19630e-01, 6.57000e+00 
7.20473e-01, 6.58000e+00 
7.21316e-01, 6.59000e+00 
7.22159e-01, 6.60000e+00 
7.23003e-01, 6.61000e+00 
7.23847e-01, 6.62000e+00 
7.24691e-01, 6.63000e+00 
7.25536e-01, 6.64000e+00 
7.26381e-01, 6.65000e+00 
7.27227e-01, 6.66000e+00 
7.28073e-01, 6.67000e+00 
7.28919e-01, 6.68000e+00 
7.29765e-01, 6.69000e+00 
7.30612e-01, 6.70000e+00 
7.31460e-01, 6.71000e+00 
7.32308e-01, 6.72000e+00 
7.33156e-01, 6.73000e+00 
7.34004e-01, 6.74000e+00 
7.34853e-01, 6.75000e+00 
7.35702e-01, 6.76000e+00 
7.36552e-01, 6.77000e+00 
7.37402e-01, 6.78000e+00 
7.38252e-01, 6.79000e+00 
7.39102e-01, 6.80000e+00 
7.39953e-01, 6.81000e+00 
7.40805e-01, 6.82000e+00 
7.41656e-01, 6.83000e+00 
7.42508e-01, 6.84000e+00 
7.43360e-01, 6.85000e+00 
7.44213e-01, 6.86000e+00 
7.45066e-01, 6.87000e+00 
7.45919e-01, 6.88000e+00 
7.46773e-01, 6.89000e+00 
7.47627e-01, 6.90000e+00 
7.48481e-01, 6.91000e+00 
7.49336e-01, 6.92000e+00 
7.50191e-01, 6.93000e+00 
7.51046e-01, 6.94000e+00 
7.51902e-01, 6.95000e+00 
7.52758e-01, 6.96000e+00 
7.53614e-01, 6.97000e+00 
7.54471e-01, 6.98000e+00 
7.55327e-01, 6.99000e+00 
7.56185e-01, 7.00000e+00 
7.57042e-01, 7.01000e+00 
7.57900e-01, 7.02000e+00 
7.58758e-01, 7.03000e+00 
7.59617e-01, 7.04000e+00 
7.60476e-01, 7.05000e+00 
7.61335e-01, 7.06000e+00 
7.62194e-01, 7.07000e+00 
7.63054e-01, 7.08000e+00 
7.63914e-01, 7.09000e+00 
7.64774e-01, 7.10000e+00 
7.65635e-01, 7.11000e+00 
7.66496e-01, 7.12000e+00 
7.67357e-01, 7.13000e+00 
7.68219e-01, 7.14000e+00 
7.69081e-01, 7.15000e+00 
7.69943e-01, 7.16000e+00 
7.70805e-01, 7.17000e+00 
7.71668e-01, 7.18000e+00 
7.72531e-01, 7.19000e+00 
7.73395e-01, 7.20000e+00 
7.74258e-01, 7.21000e+00 
7.75122e-01, 7.22000e+00 
7.75986e-01, 7.23000e+00 
7.76851e-01, 7.24000e+00 
7.77716e-01, 7.25000e+00 
7.78581e-01, 7.26000e+00 
7.79446e-01, 7.27000e+00 
7.80312e-01, 7.28000e+00 
7.81178e-01, 7.29000e+00 
7.82044e-01, 7.30000e+00 
7.82911e-01, 7.31000e+00 
7.83777e-01, 7.32000e+00 
7.84644e-01, 7.33000e+00 
7.85512e-01, 7.34000e+00 
7.86379e-01, 7.35000e+00 
7.87247e-01, 7.36000e+00 
7.88115e-01, 7.37000e+00 
7.88984e-01, 7.38000e+00 
7.89853e-01, 7.39000e+00 
7.90722e-01, 7.40000e+00 
7.91591e-01, 7.41000e+00 
7.92460e-01, 7.42000e+00 
7.93330e-01, 7.43000e+00 
7.94200e-01, 7.44000e+00 
7.95071e-01, 7.45000e+00 
7.95941e-01, 7.46000e+00 
7.96812e-01, 7.47000e+00 
7.97683e-01, 7.48000e+00 
7.98554e-01, 7.49000e+00 
7.99426e-01, 7.50000e+00 
8.00298e-01, 7.51000e+00 
8.01170e-01, 7.52000e+00 
8.02043e-01, 7.53000e+00 
8.02915e-01, 7.54000e+00 
8.03788e-01, 7.55000e+00 
8.04661e-01, 7.56000e+00 
8.05535e-01, 7.57000e+00 
8.06408e-01, 7.58000e+00 
8.07282e-01, 7.59000e+00 
8.08156e-01, 7.60000e+00 
8.09031e-01, 7.61000e+00 
8.09906e-01, 7.62000e+00 
8.10780e-01, 7.63000e+00 
8.11656e-01, 7.64000e+00 
8.12531e-01, 7.65000e+00 
8.13407e-01, 7.66000e+00 
8.14283e-01, 7.67000e+00 
8.15159e-01, 7.68000e+00 
8.16035e-01, 7.69000e+00 
8.16912e-01, 7.70000e+00 
8.17789e-01, 7.71000e+00 
8.18666e-01, 7.72000e+00 
8.19543e-01, 7.73000e+00 
8.20421e-01, 7.74000e+00 
8.21298e-01, 7.75000e+00 
8.22176e-01, 7.76000e+00 
