k, beta 
4.42535e-02, 4.11000e+00 
4.43073e-02, 4.12000e+00 
4.43613e-02, 4.13000e+00 
4.44154e-02, 4.14000e+00 
4.44697e-02, 4.15000e+00 
4.45241e-02, 4.16000e+00 
4.45786e-02, 4.17000e+00 
4.46332e-02, 4.18000e+00 
4.46880e-02, 4.19000e+00 
4.47428e-02, 4.20000e+00 
4.47979e-02, 4.21000e+00 
4.48530e-02, 4.22000e+00 
4.49082e-02, 4.23000e+00 
4.49636e-02, 4.24000e+00 
4.50191e-02, 4.25000e+00 
4.50747e-02, 4.26000e+00 
4.51304e-02, 4.27000e+00 
4.51862e-02, 4.28000e+00 
4.52422e-02, 4.29000e+00 
4.52983e-02, 4.30000e+00 
4.53544e-02, 4.31000e+00 
4.54107e-02, 4.32000e+00 
4.54672e-02, 4.33000e+00 
4.55237e-02, 4.34000e+00 
4.55803e-02, 4.35000e+00 
4.56371e-02, 4.36000e+00 
4.56939e-02, 4.37000e+00 
4.57509e-02, 4.38000e+00 
4.58079e-02, 4.39000e+00 
4.58651e-02, 4.40000e+00 
4.59224e-02, 4.41000e+00 
4.59798e-02, 4.42000e+00 
4.60373e-02, 4.43000e+00 
4.60949e-02, 4.44000e+00 
4.61526e-02, 4.45000e+00 
4.62104e-02, 4.46000e+00 
4.62683e-02, 4.47000e+00 
4.63263e-02, 4.48000e+00 
4.63845e-02, 4.49000e+00 
4.64427e-02, 4.50000e+00 
4.65010e-02, 4.51000e+00 
4.65594e-02, 4.52000e+00 
4.66179e-02, 4.53000e+00 
4.66765e-02, 4.54000e+00 
4.67352e-02, 4.55000e+00 
4.67940e-02, 4.56000e+00 
4.68529e-02, 4.57000e+00 
4.69119e-02, 4.58000e+00 
4.69710e-02, 4.59000e+00 
4.70302e-02, 4.60000e+00 
4.70895e-02, 4.61000e+00 
4.71489e-02, 4.62000e+00 
4.72083e-02, 4.63000e+00 
4.72679e-02, 4.64000e+00 
4.73275e-02, 4.65000e+00 
4.73873e-02, 4.66000e+00 
4.74471e-02, 4.67000e+00 
4.75070e-02, 4.68000e+00 
4.75670e-02, 4.69000e+00 
4.76271e-02, 4.70000e+00 
4.76873e-02, 4.71000e+00 
4.77476e-02, 4.72000e+00 
4.78079e-02, 4.73000e+00 
4.78684e-02, 4.74000e+00 
4.79289e-02, 4.75000e+00 
4.79895e-02, 4.76000e+00 
4.80502e-02, 4.77000e+00 
4.81110e-02, 4.78000e+00 
4.81718e-02, 4.79000e+00 
4.82328e-02, 4.80000e+00 
4.82938e-02, 4.81000e+00 
4.83549e-02, 4.82000e+00 
4.84161e-02, 4.83000e+00 
4.84774e-02, 4.84000e+00 
4.85387e-02, 4.85000e+00 
4.86002e-02, 4.86000e+00 
4.86617e-02, 4.87000e+00 
4.87233e-02, 4.88000e+00 
4.87849e-02, 4.89000e+00 
4.88467e-02, 4.90000e+00 
4.89085e-02, 4.91000e+00 
4.89704e-02, 4.92000e+00 
4.90324e-02, 4.93000e+00 
4.90944e-02, 4.94000e+00 
4.91566e-02, 4.95000e+00 
4.92188e-02, 4.96000e+00 
4.92810e-02, 4.97000e+00 
4.93434e-02, 4.98000e+00 
4.94058e-02, 4.99000e+00 
4.94683e-02, 5.00000e+00 
4.95309e-02, 5.01000e+00 
4.95935e-02, 5.02000e+00 
4.96562e-02, 5.03000e+00 
4.97190e-02, 5.04000e+00 
4.97819e-02, 5.05000e+00 
4.98448e-02, 5.06000e+00 
4.99078e-02, 5.07000e+00 
4.99709e-02, 5.08000e+00 
5.00340e-02, 5.09000e+00 
5.00972e-02, 5.10000e+00 
5.01605e-02, 5.11000e+00 
5.02239e-02, 5.12000e+00 
5.02873e-02, 5.13000e+00 
5.03508e-02, 5.14000e+00 
5.04143e-02, 5.15000e+00 
5.04779e-02, 5.16000e+00 
5.05416e-02, 5.17000e+00 
5.06053e-02, 5.18000e+00 
5.06691e-02, 5.19000e+00 
5.07330e-02, 5.20000e+00 
5.07970e-02, 5.21000e+00 
5.08610e-02, 5.22000e+00 
5.09250e-02, 5.23000e+00 
5.09892e-02, 5.24000e+00 
5.10534e-02, 5.25000e+00 
5.11176e-02, 5.26000e+00 
5.11819e-02, 5.27000e+00 
5.12463e-02, 5.28000e+00 
5.13108e-02, 5.29000e+00 
5.13753e-02, 5.30000e+00 
5.14398e-02, 5.31000e+00 
5.15045e-02, 5.32000e+00 
5.15692e-02, 5.33000e+00 
5.16339e-02, 5.34000e+00 
5.16987e-02, 5.35000e+00 
5.17636e-02, 5.36000e+00 
5.18285e-02, 5.37000e+00 
5.18935e-02, 5.38000e+00 
5.19586e-02, 5.39000e+00 
5.20237e-02, 5.40000e+00 
5.20888e-02, 5.41000e+00 
5.21540e-02, 5.42000e+00 
5.22193e-02, 5.43000e+00 
5.22846e-02, 5.44000e+00 
5.23500e-02, 5.45000e+00 
5.24155e-02, 5.46000e+00 
5.24810e-02, 5.47000e+00 
5.25465e-02, 5.48000e+00 
5.26121e-02, 5.49000e+00 
5.26778e-02, 5.50000e+00 
5.27435e-02, 5.51000e+00 
5.28093e-02, 5.52000e+00 
5.28751e-02, 5.53000e+00 
5.29410e-02, 5.54000e+00 
5.30070e-02, 5.55000e+00 
5.30729e-02, 5.56000e+00 
5.31390e-02, 5.57000e+00 
5.32051e-02, 5.58000e+00 
5.32712e-02, 5.59000e+00 
5.33374e-02, 5.60000e+00 
5.34037e-02, 5.61000e+00 
5.34700e-02, 5.62000e+00 
5.35363e-02, 5.63000e+00 
5.36028e-02, 5.64000e+00 
5.36692e-02, 5.65000e+00 
5.37357e-02, 5.66000e+00 
5.38023e-02, 5.67000e+00 
5.38689e-02, 5.68000e+00 
5.39355e-02, 5.69000e+00 
5.40022e-02, 5.70000e+00 
5.40690e-02, 5.71000e+00 
5.41358e-02, 5.72000e+00 
5.42027e-02, 5.73000e+00 
5.42696e-02, 5.74000e+00 
5.43365e-02, 5.75000e+00 
5.44035e-02, 5.76000e+00 
5.44705e-02, 5.77000e+00 
5.45376e-02, 5.78000e+00 
5.46048e-02, 5.79000e+00 
5.46720e-02, 5.80000e+00 
5.47392e-02, 5.81000e+00 
5.48065e-02, 5.82000e+00 
5.48738e-02, 5.83000e+00 
5.49412e-02, 5.84000e+00 
5.50086e-02, 5.85000e+00 
5.50761e-02, 5.86000e+00 
5.51436e-02, 5.87000e+00 
5.52111e-02, 5.88000e+00 
5.52787e-02, 5.89000e+00 
5.53464e-02, 5.90000e+00 
5.54140e-02, 5.91000e+00 
5.54818e-02, 5.92000e+00 
5.55495e-02, 5.93000e+00 
5.56174e-02, 5.94000e+00 
5.56852e-02, 5.95000e+00 
5.57531e-02, 5.96000e+00 
5.58211e-02, 5.97000e+00 
5.58891e-02, 5.98000e+00 
5.59571e-02, 5.99000e+00 
5.60252e-02, 6.00000e+00 
5.60933e-02, 6.01000e+00 
5.61615e-02, 6.02000e+00 
5.62297e-02, 6.03000e+00 
5.62979e-02, 6.04000e+00 
5.63662e-02, 6.05000e+00 
5.64345e-02, 6.06000e+00 
5.65029e-02, 6.07000e+00 
5.65713e-02, 6.08000e+00 
5.66397e-02, 6.09000e+00 
5.67082e-02, 6.10000e+00 
5.67767e-02, 6.11000e+00 
5.68453e-02, 6.12000e+00 
5.69139e-02, 6.13000e+00 
5.69826e-02, 6.14000e+00 
5.70513e-02, 6.15000e+00 
5.71200e-02, 6.16000e+00 
5.71887e-02, 6.17000e+00 
5.72575e-02, 6.18000e+00 
5.73264e-02, 6.19000e+00 
5.73953e-02, 6.20000e+00 
5.74642e-02, 6.21000e+00 
5.75331e-02, 6.22000e+00 
5.76021e-02, 6.23000e+00 
5.76712e-02, 6.24000e+00 
5.77402e-02, 6.25000e+00 
5.78093e-02, 6.26000e+00 
5.78785e-02, 6.27000e+00 
5.79477e-02, 6.28000e+00 
5.80169e-02, 6.29000e+00 
5.80861e-02, 6.30000e+00 
5.81554e-02, 6.31000e+00 
5.82247e-02, 6.32000e+00 
5.82941e-02, 6.33000e+00 
5.83635e-02, 6.34000e+00 
5.84329e-02, 6.35000e+00 
5.85024e-02, 6.36000e+00 
5.85719e-02, 6.37000e+00 
5.86415e-02, 6.38000e+00 
5.87110e-02, 6.39000e+00 
5.87806e-02, 6.40000e+00 
5.88503e-02, 6.41000e+00 
5.89200e-02, 6.42000e+00 
5.89897e-02, 6.43000e+00 
5.90594e-02, 6.44000e+00 
5.91292e-02, 6.45000e+00 
5.91990e-02, 6.46000e+00 
5.92689e-02, 6.47000e+00 
5.93388e-02, 6.48000e+00 
5.94087e-02, 6.49000e+00 
5.94786e-02, 6.50000e+00 
5.95486e-02, 6.51000e+00 
5.96186e-02, 6.52000e+00 
5.96887e-02, 6.53000e+00 
5.97587e-02, 6.54000e+00 
5.98289e-02, 6.55000e+00 
5.98990e-02, 6.56000e+00 
5.99692e-02, 6.57000e+00 
6.00394e-02, 6.58000e+00 
6.01096e-02, 6.59000e+00 
6.01799e-02, 6.60000e+00 
6.02502e-02, 6.61000e+00 
6.03206e-02, 6.62000e+00 
6.03909e-02, 6.63000e+00 
6.04613e-02, 6.64000e+00 
6.05318e-02, 6.65000e+00 
6.06022e-02, 6.66000e+00 
6.06727e-02, 6.67000e+00 
6.07432e-02, 6.68000e+00 
6.08138e-02, 6.69000e+00 
6.08844e-02, 6.70000e+00 
6.09550e-02, 6.71000e+00 
6.10256e-02, 6.72000e+00 
6.10963e-02, 6.73000e+00 
6.11670e-02, 6.74000e+00 
